Day,Crop_Biomass (kg/ha),Weed_Biomass (kg/ha),Pest_Density (ind/m²),Bat_Population (ind/km²),Soil_Organic_Matter (%)
0,180.0,80.0,8.0,50.0,1.8
1,180.0,75.83360004018611,9.20386332870558,49.95005249120733,1.8027262638021255
2,180.0,71.85430079051775,10.536931202795651,49.90016782894885,1.8053192148104562
3,180.0,68.09263053797278,12.037176415133935,49.85035980588155,1.8077568394260075
4,180.0,64.53701318752253,13.717016248737792,49.800628843639494,1.8100470893994596
5,180.0,61.175342794072506,15.589074203300425,49.75097546333244,1.81219829869107
6,180.0,57.996007542162886,17.664441423814853,49.70140024100547,1.814218475290089
7,180.0,54.988958279932596,19.9505861169089,49.651903751934036,1.8161145659048417
8,180.0,52.14409285556954,22.451691325189184,49.602486629710945,1.8178935684663549
9,180.0,49.45238264496779,25.16728091637752,49.55314948754464,1.8195617500549843
10,180.0,46.9055973516351,28.091634664795585,49.503892921726205,1.8211248369057966
11,180.0,44.49562353443653,31.21334122670447,49.454717547118904,1.8225884855687255
12,180.0,42.21481868883655,34.51475624825403,49.405623968005614,1.8239580356059322
13,180.0,40.05598292082989,37.971975261894016,49.356612773602066,1.8252385280772878
14,180.0,38.012764132554274,41.55748555168263,49.30768449747678,1.8264344202352465
15,180.0,36.078509890361,45.23563369380627,49.25883971111992,1.827550390535409
16,180.0,34.24683060268581,48.96598423267818,49.21007897561698,1.8285909406973533
17,180.0,32.51218826102847,52.707939431870344,49.161402788851184,1.829559981843826
18,180.0,30.86923146121789,56.419829633419724,49.112811639139714,1.8304613014316027
19,180.0,29.31291414587771,60.061300085905756,49.064305995012795,1.8312984786111688
20,180.0,27.838478686292007,63.59502739507617,49.015886306412995,1.8320748952844677
21,180.0,26.441438170751248,66.98816327436471,48.96755300599657,1.8327937479142078
22,180.0,25.117560573381073,70.21339748446877,48.91930651047766,1.8334580580164794
23,180.0,23.862853815526297,73.24958310320935,48.87114722194213,1.8340706820870747
24,180.0,22.67355172607945,76.0819229448564,48.823075529083695,1.8346343209480123
25,180.0,21.546100847354246,78.70176362099056,48.77509180833218,1.8351515285473636
26,180.0,20.47714163010605,81.10590794560707,48.72719642519471,1.8356247246691997
27,180.0,19.463512699977773,83.29632617136896,48.679389734226824,1.8360561917032063
28,180.0,18.50223353168263,85.27909621120146,48.63167208021684,1.8364480864480655
29,180.0,17.59048306226281,87.06319897218239,48.58404379942478,1.836802454702838
30,180.0,16.72559886867029,88.65993249865446,48.53650521949281,1.8371212316108771
31,180.0,15.905069806118927,90.0821335262822,48.4890566597588,1.8374062465919228
32,180.0,15.126523206178382,91.34346323903391,48.44169843182148,1.8376592321022422
33,180.0,14.387715728980927,92.45785940359768,48.394430839811285,1.8378818298373556
34,180.0,13.686529644172474,93.43913059651877,48.347254180328804,1.838075593161024
35,180.0,13.020965425647985,94.30062860399903,48.30016874255467,1.83824199215026
36,180.0,12.389134045777414,95.05501065688829,48.25317480834513,1.8383824188620883
37,180.0,11.789250673899913,95.71409377666532,48.206272652226765,1.838498191628024
38,180.0,11.219628732033652,96.28877292807546,48.1594625413594,1.8385905591142169
39,180.0,10.678674297100882,96.78898887363044,48.112744735472106,1.8386607041523637
40,180.0,10.164880832025995,97.22373319668061,48.0661194867774,1.8387097473522305
41,180.0,9.676824225438244,97.60107970021974,48.01958703986877,1.8387387505089565
42,180.0,9.213158121428698,97.92823347919504,47.97314763160561,1.838748719817151
43,180.0,8.772609521954084,98.2115908486678,47.92680149098948,1.8387406089030633
44,180.0,8.35397464554861,98.4568049473776,47.88054883903429,1.8387153216854448
45,180.0,7.956115027008276,98.66885320622731,47.83438988863334,1.8386737150750698
46,180.0,7.577953843652331,98.85210397917854,47.78832484442492,1.8386166015223013
47,180.0,7.218472454647392,99.01038050520484,47.742353902658365,1.8385447514215187
48,180.0,6.876707140705569,99.14702103747243,47.69647725106185,1.8384588953806984
49,180.0,6.551746032241883,99.26493447465813,47.650695068712984,1.8383597263639535
50,180.0,6.242726214801975,99.36665119226294,47.604235671792175,1.838241935091131
51,180.0,5.94883100125149,99.45436902789697,47.55580349598933,1.8380961139255558
52,180.0,5.6692873608566146,99.5299945484663,47.50592760108969,1.8379269021427915
53,180.0,5.403363495983601,99.59517984009561,47.455320004339356,1.8377403303495692
54,180.0,5.150366557706465,99.65135512891518,47.40374184976052,1.8375350601237876
55,180.0,4.909639312072734,99.6997631948174,47.35105756934418,1.8373105182044465
56,180.0,4.680561036434469,99.74146953626926,47.29713456709417,1.837066122484238
57,180.0,4.462544443351739,99.77739210965389,47.24184874358843,1.8368013271761443
58,180.0,4.255031836725027,99.80833126679268,47.18509047454511,1.8365156725535814
59,180.0,4.057495031025873,99.83497646964463,47.12677077408907,1.8362088332116224
60,179.56417309789614,3.869617027525956,99.85792160998946,47.066827513046526,1.835880668482255
61,177.8539986108232,3.6917770089425823,99.8776791486771,47.005231244744806,1.8355312970525453
62,175.6633349509967,3.5245319052455324,99.89469090490977,46.94199023130996,1.8351611567935942
63,173.69847149360453,3.3672815942197802,99.90933771236405,46.87715428577295,1.8347709697777206
64,171.75460864734228,3.2190876140083478,99.92194778620419,46.81081707767709,1.834361828660164
65,169.87341640354921,3.07939215694555,99.93280393473772,46.743116621174686,1.8339351241669544
66,168.05349030163578,2.9476076206396082,99.94214980455608,46.6742337654939,1.8334925409970142
67,166.29358091402932,2.8231702064372866,99.95019527585988,46.60438863137774,1.8330360871307756
68,164.59250039547882,2.705576617229805,99.95712112121393,46.533835073939755,1.832568010680934
69,162.94909377663308,2.594359764553738,99.96308302712251,46.4628533906351,1.8320907621595586
70,161.3622441945663,2.4890893992185843,99.96821506390967,46.3917416202261,1.8316069258986454
71,159.83086859574698,2.3893685732745253,99.97263267858547,46.32080588287189,1.831119146400385
72,158.353914183195,2.2948307392459646,99.97643527552228,46.250350282917985,1.8306300501550141
73,156.93035497626633,2.205137163883312,99.97970844113642,46.18066692786283,1.830142167475199
74,155.5591886588236,2.119974575411408,99.98252586126506,46.112026606477485,1.8296578587389902
75,154.23943386240714,2.0390530326814025,99.98495097337691,46.044670617477585,1.8291792490246834
76,152.97012799371413,1.9621039917161665,99.98703839005802,45.97880415277042,1.828708174493663
77,151.75032567388186,1.888878549474498,99.98883512526568,45.914591524685605,1.8282461430001806
78,150.57909781270476,1.8191458468532749,99.99038165055147,45.85215339555587,1.8277943103809176
79,149.45553129791855,1.7526916148978757,99.9917128047359,45.79156603236991,1.8273534727942349
80,148.37872924140743,1.689316849967027,99.99285857729828,45.73286248053952,1.826924074433798
81,147.3478116933568,1.6288366051747152,99.99384478296146,45.67603543925186,1.8265062290191323
82,146.36191671382943,1.571078886832701,99.99469364254524,45.6210415342197,1.826099752734394
83,145.4202016798375,1.515883645857392,99.99542428308324,45.567806626771144,1.8257042057907593
84,144.52184470458013,1.463101855198826,99.9960531684046,45.516231772859584,1.8253189395459783
85,143.66604605309223,1.4125946653112915,99.99659446983253,45.466199450432605,1.8249431461201402
86,142.85202945340566,1.3642326305282966,99.99706038531649,45.417579704816866,1.8245759076708625
87,142.07904322231875,1.3178949999424467,99.9974614141626,45.370235913596375,1.8242162428886446
88,141.34636114770097,1.2734690670361448,99.99780659353355,45.324029938025674,1.8238631487887682
89,140.65328309269898,1.2308495728740096,99.99810370203353,45.27882650017804,1.8235156364514988
90,139.9993015435864,1.1899381348988507,99.99835943491516,45.23503520102552,1.8231771042614688
91,139.38405871493708,1.1506426832125938,99.99857955483826,45.19347688772505,1.822854269004102
92,138.80654724890198,1.1128770755406774,99.9987690218513,45.15279807395429,1.8225363123842533
93,138.2658887612534,1.0765608486235476,99.99893210543536,45.111982987854944,1.8222151113388416
94,137.7616304996087,1.0416186889740797,99.99907248053955,45.07132162410081,1.8218930596640637
95,137.29323003254254,1.0079799800118967,99.99919331015832,45.03075026279306,1.821569701107617
96,136.8601843137772,0.9755785330647726,99.99929731673755,44.990268655954694,1.8212450867648786
97,136.46200925921636,0.9443522703582028,99.99938684355347,44.94987651372657,1.8209192651121282
98,136.09823917999708,0.9142429423629739,99.99946390747971,44.90957353972197,1.8205922822165932
99,135.76842619307152,0.8851958708386128,99.99953024446701,44.869359428453734,1.8202641818784158
100,135.72948526570144,0.8571338679278216,99.62309334561917,44.82723355964808,1.8199309427430277
101,136.37941467471174,0.8298083585323428,98.28534272282387,44.77986763636529,1.8195859803963443
102,137.47815469171192,0.8031948622110916,96.37522378189206,44.728172571117724,1.8192308429255561
103,138.67392743298018,0.7771611071975135,94.38927928985366,44.674509432513425,1.8188704637251691
104,139.9643372800969,0.7516514589402208,92.31028872230303,44.61878304552609,1.8185047271608457
105,141.35587852631858,0.7266634578319756,90.12192923311353,44.560743468333435,1.8181330915807257
106,142.85246123534824,0.7021776440213937,87.8165939051934,44.50021635435057,1.817755205515753
107,144.45867162036595,0.6781749571457911,85.39356748202175,44.43704178084729,1.8173707438132143
108,146.17872747566895,0.6546405022755339,82.85882953595505,44.37111372601724,1.8169794883671024
109,148.01723763006737,0.6315599047572125,80.2244438758647,44.30235607093498,1.8165812799010925
110,149.97890098951055,0.6089202392760992,77.50831587979903,44.23073779728453,1.8161760493550791
111,152.06837667926058,0.5867101691223708,74.73345202259028,44.15628003865935,1.8157638329891586
112,154.2901927318595,0.5649199466518514,71.92697350052741,44.079060449666756,1.8153447822035367
113,156.64821162072204,0.5435423138991069,69.11573413623964,43.99919863561481,1.8149191355149803
114,159.1471222168166,0.5225695051231155,66.33598475265717,43.91690642721159,1.8144873198986098
115,161.79050000727395,0.5019966968104258,63.619228920881596,43.832436667538325,1.8140498502737785
116,164.581626843616,0.4818204873384985,60.9968646820833,43.74609900992207,1.8136073616997985
117,167.52340922717107,0.46203898753984407,58.498770287606305,43.658252494441044,1.8131605953703733
118,170.61832571834634,0.4426517688583198,56.15217261589102,43.56929719262207,1.81271038243704
119,173.86843046489471,0.4236597911513612,53.98110078865192,43.47966457333502,1.8122576249403894
120,177.2753606546888,0.4050653041070513,52.00605991275985,43.38980653608462,1.8118032736964667
121,180.84034858527463,0.3868717285730477,50.24394513510865,43.30018357842075,1.811348304057019
122,184.56423583678804,0.36908352104657155,48.708168008038676,43.21125261469188,1.8108936905914446
123,188.43037992153242,0.3517067425677266,47.408943582805584,43.12345498148131,1.8104403818043382
124,192.40171053006392,0.3347506075307383,46.353679912707435,43.037205149865784,1.8099892760934841
125,196.46352690204003,0.31822777712427863,45.54768181019164,42.95290707757162,1.8095412582929309
126,200.61304224716056,0.3021489652263917,44.99363451005997,42.87086532434349,1.809097004262431
127,204.84645015589382,0.28652469395933,44.69300476646557,42.791356118978314,1.8086571357264576
