Day,Crop_Biomass (kg/ha),Weed_Biomass (kg/ha),Pest_Density (ind/m²),Bat_Population (ind/km²),Soil_Organic_Matter (%)
0,180.0,80.0,8.0,50.0,1.8
1,180.0,75.6129516961719,9.20386332870558,49.95005249120733,1.8030445584889128
2,180.0,71.43247664137115,10.536931202795651,49.90016782894885,1.8059493740534411
3,180.0,67.4918073116091,12.037176415133935,49.85035980588155,1.8086917055443779
4,180.0,63.77761278454556,13.717016248737792,49.800628843639494,1.8112802774467336
5,180.0,60.27598633484563,15.589074203300425,49.75097546333244,1.8137242099173976
6,180.0,56.973625134258775,17.664441423814853,49.70140024100547,1.8160322416524428
7,180.0,53.859053706876026,19.9505861169089,49.651903751934036,1.8182119277793847
8,180.0,50.920764209426785,22.451691325189184,49.602486629710945,1.8202708596950485
9,180.0,48.14849888766238,25.16728091637752,49.55314948754464,1.8222158172404614
10,180.0,45.53293131794508,28.091634664795585,49.503892921726205,1.8240529782746724
11,180.0,43.064888318599465,31.21334122670447,49.454717547118904,1.8257884309833479
12,180.0,40.73575176693301,34.51475624825403,49.405623968005614,1.8274279066825698
13,180.0,38.5374238902301,37.971975261894016,49.356612773602066,1.8289768015189303
14,180.0,36.46277754831966,41.55748555168263,49.30768449747678,1.8304398747329589
15,180.0,34.50436693812899,45.23563369380627,49.25883971111992,1.8318221089143576
16,180.0,32.65505989360265,48.96598423267818,49.21007897561698,1.8331282849283672
17,180.0,30.908694804887382,52.707939431870344,49.161402788851184,1.8343625424633212
18,180.0,29.259331301613173,56.419829633419724,49.112811639139714,1.8355288807055055
19,180.0,27.70138245290447,60.061300085905756,49.064305995012795,1.836631068696347
20,180.0,26.22959449096732,63.59502739507617,49.015886306412995,1.8376726580234797
21,180.0,24.839025487900408,66.98816327436471,48.96755300599657,1.838656996422136
22,180.0,23.525026387101367,70.21339748446877,48.91930651047766,1.8395872398073934
23,180.0,22.283223143926016,73.24958310320935,48.87114722194213,1.8404663636300516
24,180.0,21.10949998137524,76.0819229448564,48.823075529083695,1.8412971735424983
25,180.0,19.999983692616148,78.70176362099056,48.77509180833218,1.8420823154152415
26,180.0,18.95102165897411,81.10590794560707,48.72719642519471,1.8428242895319
27,180.0,17.959186153730794,83.29632617136896,48.679389734226824,1.8435254474604335
28,180.0,17.021254109672785,85.27909621120146,48.63167208021684,1.844188005216825
29,180.0,16.134182384033682,87.06319897218239,48.58404379942478,1.8448140593794677
30,180.0,15.295106497184298,88.65993249865446,48.53650521949281,1.8454055876910214
31,180.0,14.501331891045147,90.0821335262822,48.4890566597588,1.8459644546645586
32,180.0,13.750319140059823,91.34346323903391,48.44169843182148,1.846492421247646
33,180.0,13.039673346130307,92.45785940359768,48.394430839811285,1.8469911516950674
34,180.0,12.367139651420649,93.43913059651877,48.347254180328804,1.8474622163864156
35,180.0,11.73059464323647,94.30062860399903,48.30016874255467,1.8479070974226188
36,180.0,11.12803746079083,95.05501065688829,48.25317480834513,1.848327194433656
37,180.0,10.557582517275717,95.71409377666532,48.206272652226765,1.848723829319527
38,180.0,10.01745265017034,96.28877292807546,48.1594625413594,1.8490982507219307
39,180.0,9.505972686394562,96.78898887363044,48.112744735472106,1.849451638233022
40,180.0,9.021563400475257,97.22373319668061,48.0661194867774,1.8497851063541808
41,180.0,8.562735840581828,97.60107970021974,48.01958703986877,1.8500997082204735
42,180.0,8.128085999488572,97.92823347919504,47.97314763160561,1.8503964391050607
43,180.0,7.7162898089852066,98.2115908486678,47.92680149098948,1.8506762397169165
44,180.0,7.326098437621402,98.4568049473776,47.88054883903429,1.850939999304394
45,180.0,6.9563338729502675,98.66885320622731,47.83438988863334,1.8511885585763912
46,180.0,6.605884770631482,98.85210397917854,47.78832484442492,1.8514227124521476
47,180.0,6.273702553872834,99.01038050520484,47.742353902658365,1.8516432126500135
