Day,Crop_Biomass (kg/ha),Weed_Biomass (kg/ha),Pest_Density (ind/m²),Bat_Population (ind/km²),Soil_Organic_Matter (%)
0,500.0,100.0,8.0,50.0,1.8
1,505.4565548119707,100.05074440407235,9.20386332870558,49.95005249120733,1.8039653353525236
2,510.8314199427438,100.09656922891467,10.536931202795651,49.90016782894885,1.807932162336497
3,516.0935400378921,100.13662360623157,12.037176415133935,49.85035980588155,1.8119006273666618
4,521.2250302314806,100.1711963146691,13.717016248737792,49.800628843639494,1.8158705202896248
5,526.204512987719,100.20066379900811,15.589074203300425,49.75097546333244,1.8198416214637836
6,531.0086493021843,100.2254758496476,17.664441423814853,49.70140024100547,1.8238137232706215
7,535.614245241327,100.24612695358492,19.9505861169089,49.651903751934036,1.8277866532264728
8,539.9956896257895,100.26321657415923,22.451691325189184,49.602486629710945,1.8317602504761263
9,544.128173076653,100.27738694125108,25.16728091637752,49.55314948754464,1.8357343871734972
10,547.9877516338331,100.28932913230508,28.091634664795585,49.503892921726205,1.839708966355234
11,551.5502190173337,100.29982372725676,31.21334122670447,49.454717547118904,1.8436839147036472
12,554.792724852772,100.30971711205082,34.51475624825403,49.405623968005614,1.8476591913446287
13,557.6945000462774,100.31991607377196,37.971975261894016,49.356612773602066,1.8516347903813584
14,560.2385731057614,100.33131168971552,41.55748555168263,49.30768449747678,1.855610738425274
15,562.4094875100583,100.34493464819364,45.23563369380627,49.25883971111992,1.8595871032429065
16,564.1956647333244,100.36187471869911,48.96598423267818,49.21007897561698,1.8635639970380191
17,565.591378914038,100.38317456392404,52.707939431870344,49.161402788851184,1.8675415725965694
18,566.5951936485411,100.40990037740006,56.419829633419724,49.112811639139714,1.8715200254871656
19,567.2103638658581,100.44311160507861,60.061300085905756,49.064305995012795,1.8754995940180956
20,567.4446265100476,100.48384854395317,63.59502739507617,49.015886306412995,1.8794805584368008
21,567.3098101950916,100.53311996693873,66.98816327436471,48.96755300599657,1.8834632400170568
22,566.821290172174,100.591892575875,70.21339748446877,48.91930651047766,1.8874479995709308
23,565.9973376407631,100.66108225771897,73.24958310320935,48.87114722194213,1.8914352355848145
24,564.8584149740536,100.74154737471275,76.0819229448564,48.823075529083695,1.895425382045225
25,563.4264663584572,100.83408414491795,78.70176362099056,48.77509180833218,1.8994189060377722
26,561.725280879773,100.939452576999,81.10615542597355,48.72719644088879,1.9034163295669098
27,559.7776263963667,101.05830799396253,83.29711285823132,48.67938977867141,1.9074181768217267
28,557.605221662162,101.19122239301713,85.28054463475517,48.63167215301213,1.911424979639649
29,555.229957537756,101.33873493319638,87.06538754731712,48.5840439001549,1.9154373108712701
30,552.6727169631039,101.50132554184661,88.66288176392034,48.53650534776539,1.9194557638313063
31,549.9531510325488,101.67941854523333,90.08579447983848,48.48905681534028,1.9234809499921313
32,547.0884038412609,101.87336531201082,91.34686096339254,48.44169859357509,1.927513453207567
33,544.0960609212648,102.08350897201605,92.46058709317344,48.39443099670536,1.9315539342435912
34,540.9924819290799,102.31015221725805,93.44153981113854,48.34725433804159,1.9356030807922582
35,537.7912026581291,102.55353040242457,94.30274678799229,48.30016890100696,1.9396615459342317
36,534.5047853812544,102.81385370575038,95.05686221134445,48.25317496746957,1.9437300032116571
37,531.1445124310213,103.0913024948457,95.7157096910097,48.20627281193373,1.9478091338476027
38,527.7204668740397,103.3860306508538,96.29018062775876,48.1594627015699,1.9518996258160384
39,524.2416414695379,103.69816909475988,96.79021317766126,48.11274489611412,1.9560021727531633
40,520.7160401362969,104.0278287626229,97.22479650622427,48.06611964778503,1.9601174731076267
41,517.1507775755842,104.3751032684667,97.60200206049862,48.01958720118195,1.964246229396321
42,513.5521743257547,104.74007125986675,97.92903272758663,47.973147793169765,1.968389147559362
43,509.92584554662767,105.1227984810211,98.21228278263158,47.92680165275506,1.97254693640363
44,506.2769720433823,105.52334123110843,98.45760985235631,47.88054901065898,1.9767203393731843
45,502.6099245746584,105.94174327279661,98.66989703555919,47.83439007804626,1.980910064828604
46,498.9284774357345,106.37803938072523,98.85330045247798,47.78832505109727,1.9851168003350994
47,495.2361849568006,106.83225967562817,99.01166773117122,47.7423541259743,1.9893412618641242
48,491.5362261260795,107.30442799006646,99.14835341261279,47.69647749034823,1.993584166478775
49,487.8314526969283,107.7945626948588,99.26627653290805,47.65069532326245,1.9978462320928312
50,484.1244329782771,108.30267741957367,99.36797586948418,47.605007794988516,2.002128177245584
51,480.4174879390353,108.82878159272929,99.45565618884335,47.559415066904165,2.0064307209228525
52,476.71272263442216,109.3728808741393,99.53122969909109,47.513917291376394,2.010754582397689
53,473.0120535225543,109.93497749413488,99.59635303206757,47.46851461164968,2.0151004810864257
54,469.31723213847533,110.51507051131648,99.65246003655746,47.423207161739526,2.0194691364166655
55,465.6298655672162,111.11315599939199,99.70079072342878,47.37799506633169,2.0238612677041647
56,461.95143411669494,111.72922717238463,99.74241671669807,47.33287844068701,2.0282775940359565
57,458.28330655011877,112.36327445633584,99.77826356045043,47.28785739055195,2.0327188341574156
